STT,GIÁ - TRIỆU ĐỒNG,HÃNG,DÒNG,NĂM_SX,DUNG TÍCH - CC,KIỂU XE,TÌNH TRẠNG
5820,14,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
5821,88,Honda,SH,2018,150,Tay ga,Cũ
5822,7,SYM,Elizabeth,2010,125,Tay ga,Cũ
5823,40,Honda,SH,2011,125,Tay ga,Mới
5824,22.6,Honda,Air Blade,2013,125,Tay ga,Cũ
5825,12,Yamaha,Nozza,2013,125,Tay ga,Cũ
5826,33,Honda,Wave Thái,1998,110,Xe số,Cũ
5827,19.5,Piaggio,Liberty,2013,125,Tay ga,Cũ
5828,18.5,Honda,Dream,1995,110,Xe số,Cũ
5829,8,Suzuki,Epicuro,2001,110,Tay ga,Cũ
5830,19.9,Yamaha,Exciter,2006,125,Tay côn/Moto,Cũ
5831,34.6,Honda,PCX,2015,150,Tay ga,Cũ
5832,86,Ngoại,SH ý,2005,150,Tay ga,Cũ
5833,16.8,Yamaha,Exciter,2011,125,Tay côn/Moto,Cũ
5834,8,SYM,Elizabeth,2009,110,Tay ga,Cũ
5835,9.3,Yamaha,Sirius,2011,110,Xe số,Cũ
5836,42.5,Honda,Click,2015,125,Tay ga,Cũ
5837,19.8,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
5838,25.9,Honda,Lead,2017,110,Tay ga,Cũ
5839,7.2,Honda,Wave,2009,110,Xe số,Cũ
5840,30,Honda,Winner,2018,150,Tay côn/Moto,Cũ
5841,47,Honda,CB,2020,150,Tay côn/Moto,Cũ
5842,4.2,Honda,Wave,2002,100,Xe số,Cũ
5843,16.3,Honda,Vision,2012,110,Tay ga,Mới
5844,6.5,Yamaha,Nouvo,2012,110,Tay ga,Cũ
5845,21,Honda,Lead,2014,110,Tay ga,Cũ
5846,22.7,Honda,Air Blade,2014,125,Tay ga,Cũ
5847,8.7,Honda,Wave,2012,110,Xe số,Cũ
5848,57.8,Honda,SH,2014,150,Tay ga,Cũ
5849,19.5,Yamaha,Exciter,2013,125,Tay côn/Moto,Cũ
5850,11.8,Honda,Dream,1999,110,Xe số,Cũ
5851,17.8,Yamaha,Nouvo,2015,125,Tay ga,Mới
5852,72,Honda,SH,2017,150,Tay ga,Cũ
5853,16.5,Piaggio,Liberty,2013,125,Tay ga,Cũ
5854,16.3,Honda,Vision,2012,110,Tay ga,Mới
5855,9.6,Yamaha,Sirius,2013,110,Xe số,Cũ
5856,76,Honda,SH,2011,150,Tay ga,Mới
5857,15.3,Piaggio,Vespa,2011,125,Tay ga,Cũ
5858,19,Honda,Wave,2006,110,Xe số,Mới
5859,22.5,Honda,Lead,2014,110,Tay ga,Cũ
5860,24.9,Yamaha,Exciter,2016,125,Tay côn/Moto,Cũ
5861,64,Honda,PCX,2019,150,Tay ga,Cũ
5862,22.6,Piaggio,Liberty,2014,125,Tay ga,Cũ
5863,27,Yamaha,Exciter,2019,125,Tay côn/Moto,Cũ
5864,26,Suzuki,Raider,2015,125,Tay côn/Moto,Cũ
5865,43.8,Yamaha,Exciter,2010,125,Tay côn/Moto,Cũ
5866,3.85,Honda,Dream,2001,110,Xe số,Cũ
5867,23.5,Honda,Air Blade,2015,125,Tay ga,Cũ
5868,3.9,SYM,Attila,2010,110,Tay ga,Cũ
5869,23.9,Honda,Vision,2018,110,Tay ga,Cũ
5870,28.5,Honda,Vision,2018,110,Tay ga,Mới
5871,15.5,Yamaha,Sirius,2018,110,Xe số,Cũ
5872,12.5,Piaggio,LX,2010,125,Tay ga,Cũ
5873,14,Honda,Scoopy,2019,125,Tay ga,Cũ
5874,23.5,Honda,Lead,2015,110,Tay ga,Cũ
5875,8,Suzuki,Epicuro,2001,110,Tay ga,Cũ
5876,15,Honda,Wave,2017,110,Xe số,Cũ
5877,106,Honda,SH,2019,150,Tay ga,Mới
5878,4.7,Yamaha,Nouvo,2008,110,Tay ga,Cũ
5879,16,Honda,Wave,2016,110,Xe số,Mới
5880,24.8,Honda,Winner,2018,150,Tay côn/Moto,Cũ
5881,16.8,Honda,Vision,2016,110,Tay ga,Cũ
5882,46,Honda,Vario,2019,125,Tay ga,Cũ
5883,15.8,Yamaha,Exciter,2011,125,Tay côn/Moto,Cũ
5884,32,Yamaha,Exciter,2018,125,Tay côn/Moto,Cũ
5885,10.3,Honda,Wave,2003,110,Xe số,Cũ
5886,15.3,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
5887,10.8,Honda,Dream,1994,100,Xe số,Cũ
5888,29.2,Honda,Vision,2018,110,Tay ga,Mới
5889,24.9,Yamaha,Nvx,2017,125,Tay ga,Cũ
5890,17.8,Honda,Future,2016,125,Xe số,Cũ
5891,31,Yamaha,Exciter,2007,125,Tay côn/Moto,Cũ
5892,13.8,Honda,Lead,2010,110,Tay ga,Cũ
5893,6,Piaggio,Liberty,2008,125,Tay ga,Cũ
5894,23.5,Honda,Future,2019,125,Xe số,Cũ
5895,13.3,Honda,Lead,2010,110,Tay ga,Cũ
5896,147,Ngoại,SH ý,2012,125,Tay ga,Cũ
5897,7.8,Yamaha,Nouvo,2011,110,Tay ga,Cũ
5898,36,Yamaha,YBR125,2016,125,Tay côn/Moto,Cũ
5899,23.5,Honda,Future,2019,125,Xe số,Cũ
5900,3.5,Suzuki,Smash,2006,110,Xe số,Cũ
5901,170,Honda,Shadow,2009,600,Tay côn/Moto,Cũ
5902,43,Yamaha,Exciter,2008,125,Tay côn/Moto,Cũ
5903,17.2,Honda,Air Blade,2012,125,Tay ga,Cũ
5904,36.8,Honda,Lead,2020,125,Tay ga,Cũ
5905,11,Honda,Lead,2010,110,Tay ga,Cũ
5906,22.9,Suzuki,Satria,2006,120,Tay côn/Moto,Cũ
5907,28.5,Honda,Air Blade,2016,125,Tay ga,Cũ
5908,36.9,Suzuki,Raider,2017,125,Tay côn/Moto,Cũ
5909,6.5,Yamaha,Sirius,2017,50,Xe số,Cũ
5910,80,Honda,CBR,2017,150,Tay côn/Moto,Cũ
5911,25.9,Honda,Air Blade,2018,125,Tay ga,Cũ
5912,125,Ducati,Monster 795,2012,800,Tay côn/Moto,Cũ
5913,7.8,Honda,Wave,2014,110,Xe số,Cũ
5914,108,Ngoại,SH ý,2007,150,Tay ga,Cũ
5915,11.3,Honda,Wave,2011,110,Xe số,Cũ
5916,5.4,Honda,Wave,2005,110,Xe số,Cũ
5917,54.5,Yamaha,R,2019,175,Tay côn/Moto,Cũ
5918,25.5,Honda,Future,2008,125,Xe số,Cũ
5919,24.2,Honda,Air Blade,2014,125,Tay ga,Cũ
5920,23.5,Honda,Air Blade,2013,125,Tay ga,Cũ
5921,7.9,Honda,Wave,2009,110,Xe số,Cũ
5922,11,Honda,Click,2011,110,Tay ga,Cũ
5923,10.7,Honda,Air Blade,2009,110,Tay ga,Cũ
5924,33.5,Yamaha,Exciter,2019,125,Tay côn/Moto,Cũ
5925,22,Honda,Lead,2015,110,Tay ga,Cũ
5926,47,Honda,Vario,2019,125,Tay ga,Cũ
5927,3,SYM,Attila,2009,110,Tay ga,Cũ
5928,38,Honda,Air Blade,2016,125,Tay ga,Mới
5929,22.5,Suzuki,Sport / Xipo,2000,120,Tay côn/Moto,Cũ
5930,35,Honda,Winner X,2020,150,Tay côn/Moto,Cũ
5931,38,Honda,Air Blade,2016,125,Tay ga,Mới
5932,13.5,Suzuki,Axelo,2015,125,Xe số,Cũ
5933,24,Honda,Winner,2018,150,Tay côn/Moto,Cũ
5934,13.9,Yamaha,Cuxi,2011,110,Tay ga,Cũ
5935,15.8,Piaggio,Vespa,2010,125,Tay ga,Cũ
5936,14.5,Honda,Wave,2017,110,Xe số,Cũ
5937,78.3,Ngoại,SH ý,2005,150,Tay ga,Cũ
5938,12.5,Honda,Wave,2015,110,Xe số,Cũ
5939,25.5,Honda,Future,2011,125,Xe số,Cũ
5940,27.7,Yamaha,Nvx,2018,125,Tay ga,Cũ
5941,25.3,Honda,Vision,2017,110,Tay ga,Mới
5942,25.5,Honda,Future,2011,125,Xe số,Cũ
5943,12,Suzuki,Epicuro,2008,110,Tay ga,Cũ
5944,39,Honda,Vario,2019,125,Tay ga,Cũ
5945,46.9,Honda,Vario,2020,125,Tay ga,Cũ
5946,36.9,Honda,PCX,2015,150,Tay ga,Cũ
5947,168,Ngoại,SH ý,2011,150,Tay ga,Cũ
5948,30.8,Honda,Air Blade,2017,125,Tay ga,Cũ
5949,10.5,Yamaha,Luvias,2011,125,Tay ga,Cũ
5950,29.5,Honda,Air Blade,2017,125,Tay ga,Cũ
5951,57,Honda,Click,2017,125,Tay ga,Cũ
5952,3,SYM,Attila,2004,110,Tay ga,Cũ
5953,47,Honda,Vario,2018,150,Tay ga,Cũ
5954,12,Honda,Win,2010,100,Tay côn/Moto,Cũ
5955,56,Honda,SH,2014,125,Tay ga,Cũ
5956,14.8,Honda,Future,2000,110,Xe số,Cũ
5957,8.8,Honda,67,1994,50,Classic,Cũ
5958,48,Honda,Vario,2019,125,Tay ga,Cũ
5959,13.2,Piaggio,Liberty,2013,125,Tay ga,Cũ
5960,32,Yamaha,FZ,2015,125,Tay côn/Moto,Cũ
5961,13.5,Honda,Air Blade,2007,108,Tay ga,Cũ
5962,16,Honda,Air Blade,2009,110,Tay ga,Cũ
5963,16,Honda,Dream,1998,100,Xe số,Cũ
5964,615,BMW,S1000RR,2018,1000,Tay côn/Moto,Mới
5965,14.5,Yamaha,Exciter,2010,125,Tay côn/Moto,Cũ
5966,26.2,Honda,Vision,2017,110,Tay ga,Mới
5967,17,Honda,Air Blade,2009,110,Tay ga,Cũ
5968,6.8,Suzuki,Hayate,2014,125,Tay ga,Cũ
5969,38,Honda,SH,2008,125,Tay ga,Cũ
5970,53.5,Honda,SH,2015,150,Tay ga,Cũ
5971,50.5,Piaggio,Primavera,2018,125,Tay ga,Cũ
5972,14.5,Yamaha,Sirius,2016,110,Xe số,Cũ
5973,8,Honda,Chaly,1982,70,Xe số,Cũ
5974,36,Honda,MSX 125,2018,125,Tay côn/Moto,Cũ
5975,23.8,Honda,Future,2018,125,Xe số,Cũ
5976,17,Honda,Air Blade,2009,110,Tay ga,Cũ
5977,25,Honda,PCX,2011,150,Tay ga,Cũ
5978,16.5,Honda,Air Blade,2012,125,Tay ga,Cũ
5979,8.3,Yamaha,Nouvo,2009,110,Tay ga,Cũ
5980,24.1,Honda,Vision,2016,110,Tay ga,Mới
5981,4.2,Honda,Dream,1999,100,Xe số,Cũ
5982,18.8,SYM,Shark,2013,125,Tay ga,Cũ
5983,38,Honda,Spacy,2000,125,Tay ga,Cũ
5984,28,Honda,SH,2008,125,Tay ga,Cũ
5985,12.2,Honda,Air Blade,2008,110,Tay ga,Cũ
5986,26.8,Yamaha,Exciter,2006,125,Tay côn/Moto,Cũ
5987,32,Piaggio,Vespa,2014,125,Tay ga,Cũ
5988,35.6,Yamaha,FZ,2016,125,Tay côn/Moto,Cũ
5989,238,Honda,CBR,2020,650,Tay côn/Moto,Cũ
5990,31,Honda,Air Blade,2017,125,Tay ga,Cũ
5991,14.8,Honda,Air Blade,2008,110,Tay ga,Cũ
5992,10.8,Yamaha,Nouvo,2012,110,Tay ga,Cũ
5993,34.3,Honda,Winner X,2020,150,Tay côn/Moto,Cũ
5994,169,Ngoại,SH ý,2011,150,Tay ga,Cũ
5995,16.8,Honda,Future,2016,125,Xe số,Cũ
5996,8.8,Honda,Wave,2008,110,Xe số,Cũ
5997,31,Honda,Click,2013,125,Tay ga,Cũ
5998,8.5,Honda,Wave,2011,110,Xe số,Cũ
5999,53,Piaggio,GTS,2017,150,Tay ga,Cũ
6000,20.5,Yamaha,Janus,2017,125,Tay ga,Cũ
6001,32,Piaggio,Vespa,2014,125,Tay ga,Cũ
6002,35.6,Yamaha,FZ,2016,125,Tay côn/Moto,Cũ
6003,238,Honda,CBR,2020,650,Tay côn/Moto,Cũ
6004,31,Honda,Air Blade,2017,125,Tay ga,Cũ
6005,14.8,Honda,Air Blade,2008,110,Tay ga,Cũ
6006,10.8,Yamaha,Nouvo,2012,110,Tay ga,Cũ
6007,34.3,Honda,Winner X,2020,150,Tay côn/Moto,Cũ
6008,69,Honda,SH,2011,150,Tay ga,Cũ
6009,16.8,Honda,Future,2016,125,Xe số,Cũ
6010,8.8,Honda,Wave,2008,110,Xe số,Cũ
6011,31,Honda,Click,2013,125,Tay ga,Cũ
6012,8.5,Honda,Wave,2011,110,Xe số,Cũ
6013,11,Suzuki,Viva,2013,110,Xe số,Cũ
6014,20.5,Yamaha,Janus,2017,125,Tay ga,Cũ
6015,60,GPX,Demon 150GR,2020,150,Tay côn/Moto,Cũ
6016,6,Honda,Cub,2007,50,Xe số,Cũ
6017,49,Piaggio,GTS,2017,150,Tay ga,Cũ
6018,34.8,Honda,Winner X,2019,150,Tay côn/Moto,Cũ
6019,28.3,Honda,Future,2019,125,Xe số,Cũ
6020,8.2,Yamaha,Sirius,2009,110,Xe số,Cũ
6021,19,Suzuki,Axelo,2017,125,Xe số,Mới
6022,37.5,Yamaha,Exciter,2009,125,Tay côn/Moto,Cũ
6023,21.8,Yamaha,Exciter,2014,125,Tay côn/Moto,Cũ
6024,45,Honda,SH,2013,125,Tay ga,Mới
